,Certifier Name,Certifier Website,Certifier Email Address,Operation ID,Operation Name,Other/Former Names,Client ID,Contact First Name,Contact Last Name,Operation Certification Status,Effective Date of Operation Status,NOP Anniversary Date,CROPS Scope Certification Status,Effective Date of CROPS Status,Certified Products Under CROPS Scope,Additional Certified Products Under CROPS Scope ,Certificate Numbers for Certified Products under CROPS Scope,LIVESTOCK Scope Certification Status,Effective Date of LIVESTOCK Status,Certified Products Under LIVESTOCK Scope,Additional Certified Products Under LIVESTOCK Scope,Certificate Numbers for Certified Products under LIVESTOCK Scope,WILD CROPS Scope Certification Status,Effective Date of WILD CROPS Status,Certified Products Under WILD CROPS Scope,Additional Certified Products Under WILD CROPS Scope,Certificate Numbers for Certified Products Under WILD CROPS Scope,HANDLING Scope Certification Status,Effective Date of HANDLING Status,Certified Products Under HANDLING Scope,Additional Certified Products Under HANDLING Scope,Certificate Numbers for Certified Products Under HANDLING Scope,Physical Address: Street 1,Physical Address: Street 2,Physical Address: City,Physical Address: State/Province,Physical Address: Country,Physical Address: ZIP/ Postal Code,County Code,County,Mailing Address: Street 1,Mailing Address: Street 2,Mailing Address: City,Mailing Address: State/Province,Mailing Address: Country,Mailing Address: ZIP/ Postal Code,County Code.1,County.1,Phone,Email,Website URL,Additional Information ,Broker,Community Supported Agriculture (CSA),Co-Packer,Dairy,Distributor,Marketer/Trader,Restaurant,Retail Food Establishment,Poultry,Private Labeler,Slaughterhouse,Storage,Grower Group,Data as of Date,Organic Certificate
10,CAAE Certification Service,www.caae.es,rporto@caae.es,6250028526,"ACEITUNAS RUMARIN, S.L.",,28526,Francisco Javier,Rubio,Certified,2019-01-16 00:00:00,2021-01-31 00:00:00,,,,,,,,,,,,,,,,Certified,2019-01-16 00:00:00,"Other: 100% Organic: Natural olives

Organic: Spanish style fermented green olives",,CE-000348-2020,,,,,,,,,"AVDA. DE LA TROCHA, Nº 15",,Mairena del Alcor,Sevilla,Spain,41510,,,+34 955744655,fjrubio@rumarin.es,,,,,,,,,,,,,,,,2020-04-02 00:00:00,0
11,CAAE Certification Service,www.caae.es,rporto@caae.es,6250014580,"AGRICOLA GUZMAN, S.A",,14580F,Juan Ramon,Guillen Prieto,Certified,2017-06-11 00:00:00,2019-09-15 00:00:00,Certified,2017-06-11 00:00:00,Fruit - Stone: Olives (Olive oil),,CE 000884 2019,,,,,,,,,,,,,,,,,,,,,,,,C/ AMOR DE DIOS Nº 2 1º IZDA,,SEVILLA,SEVILLA,Spain,41002,,,954909211,,,,,,,,,,,,,,,,,2020-05-06 00:00:00,0
12,CAAE Certification Service,www.caae.es,rporto@caae.es,6250008182,"AGRICOLA MONFORTE, C.B.",,8182/F,Nicolas,Monforte,Certified,2013-11-15 00:00:00,2020-09-19 00:00:00,Certified,2013-11-15 00:00:00,Fruit - Stone: Olives (Olive (oil)),,CE-015946-2019,,,,,,,,,,,,,,,,,,,,,,,,"C/ RAMON Y CAJAL, Nº 20- 6ºA",,ALBACETE,ANDALUCIA,Spain,02005,,,620947560,nicomonforte@hotmail.es,,,,,,,,,,,,,,,,2020-02-12 00:00:00,0
13,CAAE Certification Service,www.caae.es,rporto@caae.es,6250027331,"AGRICOLA MORENO VELEZ, S.L.",,27331,Manuel Felix,Moreno Felix,Certified,2017-11-20 00:00:00,2019-09-27 00:00:00,Certified,2017-11-20 00:00:00,Fruit - Stone: Olives (Olive (oil/table)),,CE-015434-2018,,,,,,,,,,,,,,,,,,,,,,,,"AVDA. DE ANDALUCIA, Nº 8",,LOS MOLARES,SEVILLA,Spain,41750,,,656958354,mfmoreno@opracol.com,,,,,,,,,,,,,,,,2020-05-06 00:00:00,0
14,CAAE Certification Service,www.caae.es,rporto@caae.es,6250029975,AGRO SUR LATINO S.A.C,,29975,David Juan,Yapuchura Avendaño,Certified,2019-10-24 00:00:00,2020-04-15 00:00:00,,,,,,,,,,,,,,,,Certified,2019-10-24 00:00:00,"Other: Cañihua, Chia, Cañihua flour, Kiwicha flour, Maca flour, Quinoa flour, Cañihua flakes, Kiwicha flakes, Quinoa flakes, Kiwicha, Quinoa",,CE-012654-2019,,,,,,,,,JR. ANTONIO JOSE SUCRE MZA. I LOTE. 11 A.V. HUERTOS DE HUACHIPA (ALT. KM. 7 DE AUTO RAMIRO PRIALE),,LURIGANCHO,LIMA,Spain,15457,,,+513711519,willysul5@gmail.com,,,,,,,,,,,,,,,,2019-12-26 00:00:00,0
15,CAAE Certification Service,www.caae.es,rporto@caae.es,6250012074,"AGROPECUARIA ECOLOGICA SIERRA DE ALCARAZ, S.L.",,12074/I,Enrique,Simon,Certified,2013-12-24 00:00:00,2020-09-19 00:00:00,,,,,,,,,,,,,,,,Certified,2013-12-24 00:00:00,Oils & Oleoresins: Oils (Extra virgin olive oil),,CE-015878-2019,,,,,,,,,VIA VERDE DE ALCARAZ S/N,,ALBACETE,CASTILLA LA MANCHA,Spain,02300,,,649892862,oficina@almazaraalcaraz.com,,,,,,,,,,,,,,,,2020-05-06 00:00:00,0
16,Control Union Certifications,certifications.controlunion.com/en,organic@controlunion.com,1780873974,Agropecuaria Municipal De Guareña S.L.,,,,,Certified,2020-11-13 00:00:00,,Certified,2020-11-13 00:00:00,Other: Tomate,,,,,,,,,,,,,,,,,,"PLAZA DE ESPAÑA, 1",,Guareña,Badajoz,Spain,06470,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-31 00:00:00,0
17,Control Union Certifications,certifications.controlunion.com/en,organic@controlunion.com,1780873975,Agrotracción Extremeña S.L.,,,,,Certified,2020-11-13 00:00:00,,Certified,2020-11-13 00:00:00,Other: Tomate,,,,,,,,,,,,,,,,,,"LUIS ALVAREZ LENCERO, 3. PLTA 7ª, OFIC 12.",,BADAJOZ,BADAJOZ,Spain,06011,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-31 00:00:00,0
18,CAAE Certification Service,www.caae.es,rporto@caae.es,6250005138,"ALCANOVA, S.L.",HANDLING,5138,Enrique,De Juan Soler,Certified,2003-03-09 00:00:00,2020-01-21 00:00:00,,,,,,,,,,,,,,,,Certified,2003-03-09 00:00:00,"Oils & Oleoresins: Oils (Organic: Extra virgin olive oil

100% Organic: Extra virgin olive oil)",,CE-011657-2019,,,,,,,,,C/ DON RAMON DE LA CRUZ 49 - 7A,,MADRID,MADRID,Spain,28001,,,+34914355814,ej@soler-romero.com,,,,,,,,,,,,,,,,2020-02-12 00:00:00,0
19,CAAE Certification Service,www.caae.es,rporto@caae.es,6250004035,ANA DE JUAN SOLER,,4035/F,Ana,De Juan Soler,Certified,2003-03-09 00:00:00,2020-01-10 00:00:00,Certified,2003-03-09 00:00:00,"Other: Olive (oil), Olive leaf",,CE-012018-2019,,,,,,,,,,,,,,,,,,,,,,,,"C/ HERMOSILLA, Nº 55",,MADRID,MADRID,Spain,28001,,,914353463,ej@soler-romero.com,,,,,,,,,,,,,,,,2020-05-22 00:00:00,0
20,CAAE Certification Service,www.caae.es,rporto@caae.es,6250004030,ANA ESPERANZA QUINTANA JIMENEZ,,4030/F,Ana Esperanza,Quintana Jimenez,Certified,2003-03-09 00:00:00,2019-01-10 00:00:00,Certified,2003-03-09 00:00:00,Fruit - Stone: Olives,,CE-005315-2018,,,,,,,,,,,,,,,,,,,,,,,,"C/ HERMOSILLA, Nº 55",,MADRID,MADRID,Spain,28001,,,914353463,ej@soler-romero.com,,,,,,,,,,,,,,,,2018-12-27 00:00:00,0
21,EcoCert S.A.,www.ecocert.com,office.international@ecocert.com,7880167069,"ARGAN OIL, SL",,167069,,,Certified,2017-02-18 00:00:00,,,,,,,,,,,,,,,,,Certified,2017-02-18 00:00:00,Other: cosmetic,,,"C/ Puerta de Abajo, 16",,Alpedrete (Madrid),,Spain,28430,,,,,,,,,,,918287021,fgi@arganoil.es,,,,,,,,,,,,,,,,2021-03-16 00:00:00,0
22,CAAE Certification Service,www.caae.es,rporto@caae.es,6250018203,"AZZAYT, S.L.U.",,18203,Juan,Gallardo,Certified,2017-01-20 00:00:00,2019-10-19 00:00:00,,,,,,,,,,,,,,,,Certified,2017-01-20 00:00:00,"Oils & Oleoresins: Oils (100% Organic: Extra Virgin Olive Oil

Organic: Extra Virgin Olive Oil)",,CE-008921-2019,CTRA CIUDAD REAL-ALBACETE KM 97,,VALDEPEÑAS,CIUDAD REAL,Spain,13300,,,CTRA CIUDAD REAL-ALBACETE KM 97,,VALDEPEÑAS,CIUDAD REAL,Spain,13300,,,628071403,jgallardo@azzayt.com,,,,,,,,,,,,,,,,2018-12-27 00:00:00,0
23,Control Union Certifications,certifications.controlunion.com/en,organic@controlunion.com,1780833164,"Biolandes Andalucia, S.A.",,,,,Certified,2020-12-23 00:00:00,,Certified,2020-12-23 00:00:00,"Other: Cistus hydrolate, Cistus ladanifer, cistus oil",,,,,,,,,,,,,,,,,,CTRA. HERRERIAS KM 1.3,,Puebla de Guzman,Huelva,Spain,21550,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-31 00:00:00,0
24,CAAE Certification Service,www.caae.es,rporto@caae.es,6250023582,BODEGAS FINCA LA ESTACADA S.L,,23582,David,Moreno,Certified,2018-03-12 00:00:00,2019-03-21 00:00:00,,,,,,,,,,,,,,,,Surrendered,2019-09-12 00:00:00,Alcohol: Wine (Red wine),,CE-003401-2018,,,,,,,,,"AVDA JUAN CARLOS I, Nº 28",,Tarancón,Cuenca (Casitlla La Mancha),Spain,16400,,,+34 969327099,enologia@fincalaestacada.com,,,,,,,,,,,,,,,,2019-12-11 00:00:00,0
25,CAAE Certification Service,www.caae.es,rporto@caae.es,6250003082,"BODEGAS ROBLES, S.A.",,3082,Francisco,Robles,Certified,2020-10-19 00:00:00,2021-04-01 00:00:00,,,,,,,,,,,,,,,,Certified,2020-10-19 00:00:00,Other: Wines,,CE-011703-2020,,,,,,,,,"CTRA.  CORDOBA MALAGA,  KM 447,6",,Montilla,Córdoba,Spain,14550,,,+34610495475,tecnico@bodegasrobles.com,,,,,,,,,,,,,,,,2020-12-31 00:00:00,0
26,EcoCert S.A.,www.ecocert.com,office.international@ecocert.com,7881927640,"BORGES AGRICULTURAL & INDUSTRIAL EDIBLE OILS, SAU",,192764,,,Certified,2019-06-28 00:00:00,,,,,,,,,,,,,,,,,Certified,2019-06-28 00:00:00,"Other: Crude olive oil, Refined olive oil",,,"Avenida J.Trepat, 38",,TÀRREGA (LLEIDA),,Spain,25300,,,,,,,,,,,+34 973 50 12 12,etejedor@borges-baieo.com,,,,,,,,,,,,,,,,2021-03-16 00:00:00,0
27,CAAE Certification Service,www.caae.es,rporto@caae.es,6250005470,"CAMPOMAR NATURE, S.L",,5470,Eleuterio,Abad,Certified,2014-11-25 00:00:00,2020-10-15 00:00:00,Certified,2014-11-25 00:00:00,Fruit - Stone: Olives (Olive (oil/table)),,CE-012783-2019,,,,,,,,,,,Certified,2014-12-22 00:00:00,"Other: 100% Organic: Olives, Garlic, Pickles

Organic: Olives",,CE-015115-2019,,,,,,,,,"CTRA. PUENTE GENIL, S/N. POLIGONO INDUSTRIAL EL BUJEO",,SEVILLA,ANDALUCIA,Spain,41567,,,686488129,eabad@campomarnature.com,,,,,,,,,,,,,,,,2020-05-06 00:00:00,0
28,Control Union Certifications,certifications.controlunion.com/en,organic@controlunion.com,1780871631,Castillo Aresan SL,,,,,Certified,2021-01-27 00:00:00,,Certified,2021-01-27 00:00:00,Other: CASTILLO DE ARESAN [SIN SULFITOS] CABERNET SAUVIGNON TEMPRANILLOGrape,,,,,,,,,,,,,,,,,,"Carretera Nacional 310, PK. 120,00",,Villarrobledo,Albacete,Spain,02600,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-23 00:00:00,0
29,EcoCert S.A.,www.ecocert.com,office.international@ecocert.com,7882090360,COMERCIAL CHOCOLATES LACASA,,209036,,,Certified,2019-11-15 00:00:00,,,,,,,,,,,,,,,,,Certified,2019-11-15 00:00:00,Other: Sugar confectionery (no cocoa),,,CARRETERA DE LOGROÑO KM 14,,UTEBO (ZARAGOZA),,Spain,50180,,,,,,,,,,,,aherrero@lacasa.es,,,,,,,,,,,,,,,,2021-03-16 00:00:00,0
30,EcoCert S.A.,www.ecocert.com,office.international@ecocert.com,7881525710,"COMPAÑIA ESPAÑOLA DE TABACO EN RAMA, S.A",,152571,,,Certified,2015-10-19 00:00:00,,,,,,,,,,,,,,,,,Certified,2015-10-19 00:00:00,"Other: Raw tobacco, Unmanufactured tobacco",,,"Avd. de Las Angustias nº 20,",,NAVALMORAL DE LA MATA,,Spain,10300,,,,,,,,,,,927 533 161 - 659587160,pcanadas@cetarsa.es,,,,,,,,,,,,,,,,2021-03-16 00:00:00,0
31,CAAE Certification Service,www.caae.es,rporto@caae.es,6250005123,CORTIJO DE SUERTE ALTA C.B.,,5123/F,Manuel,Heredia,Certified,2014-11-27 00:00:00,2020-08-07 00:00:00,Certified,2014-11-27 00:00:00,Fruit - Stone: Olives (Olive (oil)),,CE 013523 2019,,,,,,,,,,,,,,,,,,,,,,,,C/ DON PEDRO Nº 8 2º 1,,MADRID,MADRID,Spain,28005,,,913663358,almazara@suertealta.es,,,,,,,,,,,,,,,,2020-05-06 00:00:00,0
32,CAAE Certification Service,www.caae.es,rporto@caae.es,6250009424,"CORTIJO DE SUERTE ALTA, S.L.",,9424/I,Manuel,Heredia,Certified,2014-11-19 00:00:00,2020-08-08 00:00:00,,,,,,,,,,,,,,,,Certified,2014-11-19 00:00:00,Oils & Oleoresins: Oils (Virgin Olive Oil),,CE-015072-2019,,,,,,,,,"C/ DON PEDRO, Nº 8 2º 1",,MADRID,MADRID,Spain,28005,,,917584762,almazara@suertealta.es,,,,,,,,,,,,,,,,2020-05-06 00:00:00,0
33,EcoCert S.A.,www.ecocert.com,office.international@ecocert.com,7881256190,"DEOLEO GLOBAL, S.A.U.",,125619,,,Certified,2019-07-04 00:00:00,,,,,,,,,,,,,,,,,Certified,2019-07-04 00:00:00,"Other: Condiments and seasonings, Refined olive oil",,,CTRA N-IV KM 388,,ALCOLEA (CÓRDOBA),,Spain,14610,,,,,,,,,,,600510031,elena.blanco@deoleo.com,,,,,,,,,,,,,,,,2021-03-16 00:00:00,0
34,CAAE Certification Service,www.caae.es,rporto@caae.es,6250011257,"EL CORTIJICO, C.B.",,11257,Jesús,Muñoz,Certified,2020-10-22 00:00:00,2021-03-27 00:00:00,Certified,2020-10-22 00:00:00,Other: Pepper (Paprika),,CE-011927-2020,,,,,,,,,,,,,,,,,,,,,,,,"C/ RODRIGUEZ DE LA FUENTE, S/N",,PUEBLA DE DON FADRIQUE,Granada,Spain,18820,,,627558495,ecortijico@hotmail.com,,,,,,,,,,,,,,,,2020-12-31 00:00:00,0
35,CAAE Certification Service,www.caae.es,rporto@caae.es,6250016140,EL ESPARRAGOSO S.C.,,16140/F,Manuel,Centeno Azpitarte,Certified,2017-11-10 00:00:00,2018-09-15 00:00:00,Certified,2017-11-10 00:00:00,Fruit - Stone: Olives,,CE-013366-2017,,,,,,,,,,,,,,,,,,,,,,,,"C/ FIDELIO Nº 5, PLANTA 4, PTA 5",,SEVILLA,SEVILLA,Spain,41007,,,606564726,,,,,,,,,,,,,,,,,2017-12-13 00:00:00,0
36,CAAE Certification Service,www.caae.es,rporto@caae.es,6250004029,ENRIQUE DE JUAN SOLER,,4029/F,Enrique,De Juan Soler,Certified,2017-07-10 00:00:00,2020-01-10 00:00:00,Certified,2017-07-10 00:00:00,Fruit - Stone: Olives (Olive (oil)),,CE 012202 2019,,,,,,,,,,,,,,,,,,,,,,,,"C/ HERMOSILLA, Nº 55",,MADRID,MADRID,Spain,28001,,,914353463,ej@soler-romero.com,,,,,,,,,,,,,,,,2020-05-22 00:00:00,0
37,EcoCert S.A.,www.ecocert.com,office.international@ecocert.com,7881426800,"ESENCIAS MARTINEZ LOZANO, S.A",,142680,,,Certified,2015-06-26 00:00:00,,Certified,2015-06-26 00:00:00,"Other: Fallow, Herbal and medicinal plants - Cistus, Herbal and medicinal plants - Cypress, Herbal and medicinal plants - Savory, Herbal and medicinal plants - Spike L., Herbal and medicinal plants - Spike, L., Hyssop, Lavandin, Lavender, Rosemary, Sage, Sage - Officinalis, Lavandufolia, Thyme, Thyme - Tomillo Linalool, Wild marjoram",,,,,,,,,,,,,Certified,2015-06-26 00:00:00,"Other: Essential oils, Hydrosols",,,"Crta Lorca, Km. 7",Paraje VENTA DE CAVILA,CARAVACA DE LA CRUZ (MURCIA),,Spain,30400,,,,,,,,,,,968725386,comercial@esenciaslozano.com,,,,,,,,,,,,,,,,2021-03-16 00:00:00,0
38,CAAE Certification Service,www.caae.es,rporto@caae.es,6250009146,"EXPLOTACION AGRARIA CASA DE ARRIBA, S.L.",,9146/F,Vicente,López,Certified,2013-11-15 00:00:00,2020-09-19 00:00:00,Certified,2013-11-15 00:00:00,Fruit - Stone: Olives (Olive (oil)),,CE-012033-2019,,,,,,,,,,,,,,,,,,,,,,,,"PASEO DE LA LIBERTAD, Nº 15",,ALBACETE,CASTILLA LA MANCHA,Spain,02001,,,649892862,vicentelopezsanjua@gmail.com,,,,,,,,,,,,,,,,2020-02-12 00:00:00,0
39,CAAE Certification Service,www.caae.es,rporto@caae.es,6250030292,"EXPLOTACIONES AGRICOLAS CAÑADAS ZAMORA, C.B.",,30292,José Manuel,Ferreño,Certified,2020-10-01 00:00:00,2021-04-17 00:00:00,Certified,2020-10-01 00:00:00,Other: Pepper,,CE 010699 2020,,,,,,,,,,,,,,,,,,,,,,,,"C/ LOS FRASQUITOS, Nº 143 (LOS CANTERIOS)",,Totana,Murcia,Spain,30850,,,968879900,jmferre@sabaterspices.com,,,,,,,,,,,,,,,,2020-12-31 00:00:00,0
40,CAAE Certification Service,www.caae.es,rporto@caae.es,6250021449,FATIMA LADRON DE GUEVARA JORDAN S.L.,,21449,Eduardo,Moreno,Certified,2015-11-04 00:00:00,2020-01-27 00:00:00,Certified,2015-11-04 00:00:00,Fruit - Stone: Olives (Olive oil),,CE-012797-2019,,,,,,,,,,,,,,,,,,,,,,,,"C/ CRISTOBAL LOZANO, 10",,ALBACETE,CASTILLA LA MANCHA,Spain,02400,,,967398166,egomez@grupo-paramo.com,,,,,,,,,,,,,,,,2020-05-06 00:00:00,0
41,CAAE Certification Service,www.caae.es,rporto@caae.es,6250006016,FINCA LA CERCA DE SERRANO. HNAS PEÑA S.L.,,6016,Mªjesús,Peña Muñoz,Certified,2018-12-17 00:00:00,2020-11-01 00:00:00,Certified,2018-12-17 00:00:00,Fruit - Stone: Olives (Olive (table)),,CE-000350-2020,,,,,,,,,,,,,,,,,,,,,,,,"VDA MANUEL SIUROT, Nº3-BLOQ 4 2º1",,SEVILLA,ANDALUCÍA,Spain,41013,,,686705396,mjpenamunoz@gmail.com,,,,,,,,,,,,,,,,2020-05-06 00:00:00,0
42,CAAE Certification Service,www.caae.es,rporto@caae.es,6250004032,GERARDO QUINTANA JIMENEZ,,4032/F,Gerardo,Quintana Jimenez,Certified,2003-03-09 00:00:00,2020-01-10 00:00:00,Certified,2003-03-09 00:00:00,Fruit - Stone: Olives (Olive (oil)),,CE 013612 2019,,,,,,,,,,,,,,,,,,,,,,,,"C/ HERMOSILLA, Nº 55",,MADRID,MADRID,Spain,28001,,,953310106,cortijolajarica@hotmail.com,,,,,,,,,,,,,,,,2020-05-22 00:00:00,0
43,EcoCert S.A.,www.ecocert.com,office.international@ecocert.com,7881810550,"GO FRUSELVA, SL",,181055,,,Certified,2018-01-26 00:00:00,,,,,,,,,,,,,,,,,Certified,2018-01-26 00:00:00,"Other: Fruit and vegetable pulps, Fruit purees, Fruit-based preparations",,,Avda. Carintia s/n. Pol. Ind. Millenium,,La Selva del Camp (TARRAGONA),,Spain,43470,,,,,,,,,,,977 844 890,k.dosaiguas@fruselva.com,,,,,,,,,,,,,,,,2021-03-16 00:00:00,0
